codigo_cliente,sexo_cliente,intervalo_medio
762,F,151
2723,F,107
6057,F,69
25393,F,3
3979,F,169
7156,F,160
254,F,131
679,F,35
2420,M,170
6876,F,42
9896,F,57
1935,F,123
967,M,19
1073,F,22
4093,F,9
368,F,101
1632,M,8
4715,F,47
770,M,51
2951,F,6
14286,F,180
1187,F,5
2246,F,4
3148,F,73
5160,M,105
2443,F,70
5620,F,29
14680,F,229
446,F,77
2491,M,50
3663,F,90
7585,F,78
840,F,39
4058,M,29
5821,F,58
9039,M,153
23982,M,43
1037,F,32
1235,M,64
20059,F,63
22020,F,45
1546,M,22
757,F,195
1816,F,45
1900,M,122
3861,M,83
3072,F,43
3974,F,43
3269,F,43
7191,F,92
2719,M,125
5582,M,84
10636,F,122
1930,F,75
22840,M,45
1068,F,29
2127,F,77
2168,M,56
4088,F,77
19031,F,297
3383,F,53
2749,F,40
4710,F,123
6671,F,12
8632,F,110
4907,F,57
6868,F,26
320,F,51
518,M,107
2636,M,31
3538,M,92
7262,F,140
2108,F,89
5128,F,61
1246,F,23
2305,F,51
13106,M,103
3455,M,24
4514,M,40
2699,F,47
4817,F,333
6515,M,115
9641,F,98
2002,M,167
5924,M,43
12184,F,51
301,F,85
1360,F,199
2199,M,7
3478,F,10
1557,F,40
3675,F,27
4577,F,25
11413,M,4
22540,F,26
7794,F,207
13834,F,73
17756,F,257
5199,F,123
415,F,53
1254,M,15
3435,F,43
7357,F,66
769,F,62
4585,M,61
5593,F,28
24615,F,34
1868,F,81
3986,F,142
5790,F,70
529,F,39
7471,F,54
1785,F,133
2844,F,175
5707,F,186
974,M,115
3041,F,114
4100,F,35
6963,F,156
8924,F,31
339,F,42
23283,F,8
693,F,59
3713,F,42
13675,F,27
1792,F,28
2851,F,54
4969,F,32
4335,F,0
5237,F,23
7395,F,121
1709,F,53
2768,F,73
4449,F,87
7396,M,28
4646,F,29
14608,F,203
2882,F,121
24767,F,10
59,F,65
1159,M,39
2020,F,250
7042,M,82
1470,M,46
3588,M,54
7426,F,8
8328,F,328
22369,F,49
1740,F,50
3037,M,81
4096,M,75
173,F,99
2332,M,170
4252,F,106
6056,F,85
5726,F,263
7687,F,160
9805,F,309
2001,F,71
5021,F,22
11963,F,64
2249,M,47
5218,F,28
8132,M,156
15180,F,225
1387,M,138
4407,M,16
5309,M,260
6317,F,74
17338,F,10
1918,F,21
7801,F,80
11880,F,10
993,M,37
442,M,48
548,F,54
3462,M,33
7490,F,23
3091,F,25
268,F,58
2229,F,122
3288,F,1
2426,F,59
556,M,37
1721,F,48
3576,M,146
13644,F,47
6970,F,126
14069,F,88
1064,M,20
1284,F,41
2540,F,266
6462,F,14
7521,F,58
2737,F,42
4855,F,58
897,F,130
2942,M,37
3917,F,111
192,F,17
3607,M,59
4665,F,13
5567,F,91
10548,F,129
3056,M,239
3326,F,142
7175,M,247
24152,F,7
503,F,44
4623,M,77
14585,M,301
4779,F,43
8701,F,316
18506,F,74
1125,F,20
1209,M,46
2268,M,111
4145,F,239
2381,F,154
3440,F,153
4342,F,201
5244,F,122
8348,M,36
14304,F,0
3637,F,54
9520,F,28
1012,M,33
6417,F,31
7319,F,41
2890,M,30
928,F,44
2028,M,312
5950,M,236
1500,F,51
6481,F,65
14482,F,51
795,F,79
1854,F,63
3595,M,125
2953,F,230
6769,M,14
9895,F,296
8336,M,221
909,F,47
1811,F,96
2650,M,68
47,F,44
9001,M,44
11068,F,129
1197,M,36
2362,F,85
5225,F,48
12324,F,3
2787,F,76
6489,M,53
2984,F,61
2173,M,42
12135,M,103
358,F,14
1417,F,29
5339,F,38
7300,F,180
6603,M,11
7725,F,109
9623,M,31
23727,F,12
2039,F,50
4157,F,115
14119,F,64
275,F,93
4354,F,94
1531,F,99
2711,F,42
9653,F,24
21576,F,5
1849,F,24
5026,F,7
5771,F,54
8086,F,97
282,F,123
3459,F,36
8283,F,186
2909,M,21
3811,M,91
19729,F,2
8905,F,130
9964,F,34
7141,F,139
8200,F,167
9102,F,312
16201,F,14
3416,F,21
20320,F,2
905,M,30
