CODIGO_CLIENTE,ID_COMPRA,SEXO_CLIENTE,QTD_ITENS
5918,924203,M,1
3679,799594,M,30
2098,1866033,F,5
7573,761399,M,4
993,1544537,M,15
6410,954745,M,4
192,1405195,F,7
1959,1914684,F,9
3191,1382132,M,1
19427,1650507,F,3
18,1158651,M,5
1445,1442661,M,1
14783,1161525,F,202
20372,1266406,F,3
974,1508372,M,13
1150,839663,M,8
8656,1429719,F,5
8734,825303,F,13
1310,941268,M,24
431,1625980,F,27
3694,1137613,M,3
2377,1285068,M,2
6260,1890059,F,5
10466,1736268,M,12
8986,1677445,F,39
356,905879,F,9
3494,1494325,F,5
11578,1891806,F,3
16862,923345,F,1
22351,1024374,F,34
297,1621010,F,4
559,1220312,F,5
601,1671941,F,14
6853,1421446,F,36
21229,1239015,F,2
2628,1086732,F,29
543,1336970,F,1
10575,1799432,M,14
2976,1570861,F,6
1010,1040817,F,50
9964,1685889,F,2
12769,1332810,F,17
17925,1079236,F,1
9665,1313967,F,5
6239,1270356,F,8
3054,914858,F,1
3345,1750778,M,18
367,1146209,M,29
5856,1617144,M,49
22081,980971,F,6
2716,1187400,M,9
10575,874359,M,11
773,1752348,F,38
10461,1352620,F,70
12353,838946,F,62
21118,874370,F,1
14285,1637014,F,108
1254,1225281,M,1
2213,1715544,M,3
1328,1349656,M,4
7999,1643427,F,48
5149,1645362,F,4
10369,1682750,F,2
2806,1225370,F,2
1415,1043927,F,58
1366,1260911,F,7
6578,1790214,M,6
5242,1899304,F,15
19921,1632576,F,14
5706,1874267,F,288
423,1241396,F,7
6336,875378,F,6
591,811548,F,3
1546,1336194,M,42
689,1541542,F,5
1349,815458,F,1
4106,1035220,M,95
10569,1171055,F,4
1332,815895,M,74
5463,1030727,F,78
345,1877401,F,12
4685,1799440,M,7
4935,857521,F,5
1414,1189700,F,3
7693,804446,F,3
3648,863129,F,3
3399,850286,F,13
2627,1184292,F,2
400,809997,M,2
12837,857416,F,128
1064,832421,M,3
2407,1743795,M,16
167,1864893,F,159
8051,1918481,F,3
3430,1146709,F,8
20439,977867,F,44
909,1544703,F,1
13243,1793854,F,43
9896,1346965,F,317
1232,1866152,M,20
1742,1586953,F,32
503,950663,F,1
4799,1585599,F,4
13613,1923088,F,24
5113,1394827,F,21
11,1613869,F,14
21628,1821836,F,26
7446,1752410,F,29
297,1099935,F,3
1706,1538361,F,45
3587,902491,M,3
3478,1370537,F,0
11662,1231120,M,774
15763,1158728,F,101
1059,1166857,M,6
22056,977228,F,16
5132,1858951,M,47
5026,1417553,F,10
15770,1644435,F,42
7201,987608,F,3
3062,1166648,F,5
7191,1263743,F,48
4309,762018,F,7
4181,1857382,F,3
3139,1833682,M,90
10031,1528395,F,2
12964,1866111,F,42
1505,1705712,M,3
2487,1391906,M,10
1339,1266849,M,53
16627,1696625,M,2
2341,1650384,F,2
9733,1121138,M,6
11376,841700,F,4
1502,1761818,F,13
2321,1632682,M,6
917,1094869,F,50
9698,1692422,M,8
835,848141,F,3
2925,1218090,M,200
6409,1912226,M,12
5343,1188081,M,3
10723,1402587,F,3
3127,1179511,M,26
2930,898147,M,31
3431,1143907,F,14
4014,1433904,F,5
5340,1091143,F,77
9251,1712685,F,192
15180,1660169,F,2
2612,1573611,F,37
11894,1079380,F,4
3681,1528378,F,52
2587,1613698,F,93
3125,1766179,F,1
136,960671,F,7
4612,776978,F,15
3734,1615029,M,7
1068,1267693,F,4
16613,1731964,F,72
13220,1845324,F,36
3335,887135,F,4
4602,895492,M,32
